Source;Target;Type;Text;Sentiment;RetweetCount;FavouriteCount;UserName;UserLocation;UserLang;UserFollowers;UserFriends
dublin;clubbing;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
dublin;party;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
dublin;saturdays;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
club;clubbing;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
club;party;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
club;saturdays;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
clubbing;party;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
clubbing;saturdays;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
party;saturdays;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
blackmetal;deathmetal;Undirected;RT @todestrieb: Hate Forest - Nietzscheism (2013 Reissue) (CD) now available https://t.co/r9lze82o0g #blackmetal #deathmetal #metal https:/…;-0.5719;3;0;Mark Gaizley;England, United Kingdom;en;1342;4313
blackmetal;metal;Undirected;RT @todestrieb: Hate Forest - Nietzscheism (2013 Reissue) (CD) now available https://t.co/r9lze82o0g #blackmetal #deathmetal #metal https:/…;-0.5719;3;0;Mark Gaizley;England, United Kingdom;en;1342;4313
deathmetal;metal;Undirected;RT @todestrieb: Hate Forest - Nietzscheism (2013 Reissue) (CD) now available https://t.co/r9lze82o0g #blackmetal #deathmetal #metal https:/…;-0.5719;3;0;Mark Gaizley;England, United Kingdom;en;1342;4313
readytorise;blues;Undirected;Dana Fuchs (@DanaFuchsTweet): Ready To Rise update: I'm off to Memphis!  But first... https://t.co/sipmgqfVxV #readytorise #blues;0.4199;0;0;PledgeMusic Updates;USA/UK;en;2461;12
hiphop;rap;Undirected;Jay Midge shows that life is not ‘Flawless’ @swtjaymidge #hiphop #rap @linkuptv #newmusic https://t.co/3vHMSTTBfG;0.0;0;0;Urban Dubz Music PR;UK;en;13848;13690
hiphop;newmusic;Undirected;Jay Midge shows that life is not ‘Flawless’ @swtjaymidge #hiphop #rap @linkuptv #newmusic https://t.co/3vHMSTTBfG;0.0;0;0;Urban Dubz Music PR;UK;en;13848;13690
rap;newmusic;Undirected;Jay Midge shows that life is not ‘Flawless’ @swtjaymidge #hiphop #rap @linkuptv #newmusic https://t.co/3vHMSTTBfG;0.0;0;0;Urban Dubz Music PR;UK;en;13848;13690
hiphop;rap;Undirected;Jay Midge shows that life is not ‘Flawless’ @swtjaymidge #hiphop #rap @linkuptv #newmusic https://t.co/57vcl2aTJP;0.0;0;1;Urban Dubz Music PR;UK;en;13848;13690
