id;text;sentiment;userId;retweetedCount;tags;tagsCount;userName;friendsCount;followersCount
853031866882019328;.@IvankaTrump  you should visit a library.  They have a huge selection on #feminism, #civilrights, #Science &amp: dictionaries. #complicit;0.3182;781320408054259713;1;[#feminism, #civilrights, #Science, #complicit];4;Lori Bogren;85;2
853032382277894144;1. What is the nervous system? https://t.co/VR6QXnzCcT #anatomy #physiology #science #education #nursing #medicine;-0.2732;971359111;0;[#anatomy, #physiology, #science, #education, #nursing, #medicine];6;Dr. Mike Todorovic;178;73
853031826000039936;This week I will be posting educational videos on the nervous system! #anatomy #physiology #brain #nervoussystem #science #education;-0.3382;971359111;2;[#anatomy, #physiology, #brain, #nervoussystem, #science, #education];6;Dr. Mike Todorovic;178;73
853030758528593921;New shirt to wear to the science march #science #education #climatechangeisreal https://t.co/rUcrI0suz5;0.0;582410335;0;[#science, #education, #climatechangeisreal];3;Claire Connelly;1276;1561
853032056388857856;Win a #Kindle Fire and ANY #Science Fiction or #Fantasy Book You Want in this #Giveaway https://t.co/uCVPajBRoF via @InkMuse;0.4019;14206459;0;[#Kindle, #Science, #Fantasy, #Giveaway];4;jbaluch;896;342
853031546760155136;Win a #Kindle Fire and ANY #Science Fiction or #Fantasy Book You Want in this #Giveaway https://t.co/KzATT2Fgni via @InkMuse;0.4019;30763185;0;[#Kindle, #Science, #Fantasy, #Giveaway];4;helen wawrejko;2129;146
853031207348518912;RT @VergeMMA: #Fight #Science: A time-tested strategy for improving striking #technique in #MMA - Bloody Elbow ? #boxing #life #ko https://…;-0.0258;573358635;2;[#Fight, #Science, #technique, #MMA, #boxing, #life, #ko];7;Austin Verge;4471;4487
853031290215550976;so, so wish I could attend #poetry #art #science https://t.co/yk83CdWjS2;0.5059;269004025;0;[#poetry, #art, #science];3;Dustin Renwick;431;276
853031275896213505;RT @ShaziaMir71: #Gallery1832 has come outside! Innovative art installation and exhibit @labcentral #TuftsPDA Sci-Art #Science #Art https:/…;0.4926;2812303841;6;[#Gallery1832, #TuftsPDA, #Science, #Art];4;TuftsPDA;344;143
853031170598109184;RT @BioRadLifeSci: Anti-Sense or Gene Editing? What is the best genetic therapy approach? https://t.co/pBa61v7r56 #pharma #science #biotech…;0.6767;117499026;4;[#pharma, #science, #biotech];3;Eduardo Armienta;1374;763
853031056932556800;RT @ExCyted: Counting Cells Will Save Your Flow Cytometry Experiment, If You Do It Like This #FlowCytometry #science #biotech https://t.co/…;0.6908;21662772;2;[#FlowCytometry, #science, #biotech];3;Nishi Sood;432;1072
853030428495794176;Seeing with the Heart: from The Little Prince to Teilhard de Chardin via @NondualScience https://t.co/DDq4J80XSb #science #nonduality;0.0;22485101;0;[#science, #nonduality];2;Jani Lassila;1740;2119
853030423428988930;Awakening Shakti: Embodying the Great Light of Consciousness via @NondualScience https://t.co/10JXwj5t0e #science #nonduality;0.6249;22485101;0;[#science, #nonduality];2;Jani Lassila;1740;2119
853397247102517248;We are committed to our cause, reducing #health #illiteracy with #freeaccess global #meded &amp: #science @… https://t.co/SmzF1p3uBE;0.2732;54926726;5;[#health, #illiteracy, #freeaccess, #meded, #science];5;Blausen Medical;2096;2869
853395964719181824;#science #ecology #health #nature Bill Gates and George Soros Fund Monsanto and a World Depopulation Agenda… https://t.co/dACR5eTvxq;0.0;735251199994286080;0;[#science, #ecology, #health, #nature];4;Thenatureworld;3463;934
853390923262283776;#science #ecology #health #nature The Ultimate Cancer Prevention - Don't Eat It! https://t.co/cXX9xnd5e5;-0.69;735251199994286080;0;[#science, #ecology, #health, #nature];4;Thenatureworld;3463;934
853397228857290752;RT @MJ_Mouton: If you meet a kid with the potential to be a #GOP politician. Go to a local bookstore...get that kid #science #Kidlit. #Futu…;0.0;167057823;4;[#GOP, #science, #Kidlit];3;cuatlicue;716;266
853394780327469056;Can #Google &amp: #Facebook stop #FakeNews from #GOP #ClimateDeniers &amp: #FactCheck their #Climate &amp: #Science nonsense? https://t.co/Pf5p7MkmiS;-0.5994;828664120920641536;0;[#Google, #Facebook, #FakeNews, #GOP, #ClimateDeniers, #FactCheck, #Climate, #Science];8;The Lorax;33;11
853392902617264128;If you meet a kid with the potential to be a #GOP politician. Go to a local bookstore...get that kid #science… https://t.co/0pXVoYIWJA;0.0;4235379015;4;[#GOP, #science];2;MJ Mouton;3842;4711
853397125782278145;#Space #Astronomy #Science https://t.co/vJGo0v7MtV SpaceX's plan to colonize Mars, explained (sceptical);0.0;1011015176;1;[#Space, #Astronomy, #Science];3;LibraryOfAlexandria;1656;7688
853395793126076416;Asteroids Are Bad at Making Waves -https://t.co/TRQdq5A3yD via @NolaTRedd for @SPACEdotcom - #asteroid #space #science #astronomy;-0.5423;32547753;1;[#asteroid, #space, #science, #astronomy];4;Dave Dickinson;1530;10478
853396970953691137;RT @CozyAtoZ: These new photos of Earth lit up at night are actually pretty useful https://t.co/M7Yi2YJm59 #science #feedly;0.7269;30233410;2;[#science, #feedly];2;Brenda  Barry;3235;7734
853396531830939648;These new photos of Earth lit up at night are actually pretty useful https://t.co/M7Yi2YJm59 #science #feedly;0.7269;189627901;2;[#science, #feedly];2;Kathy ?;13333;19975
853391842271936512;""The world's most spoken language is...'Terpene'"" https://t.co/u8e4OZMyKn #science #feedly;0.0;554065984;0;[#science, #feedly];2;Benjamin Shee;211;63
853396889844289536;RT @ICRscience: Evolutionists Strike Out: https://t.co/nUyQolHMJE #Science #Research @randyguliuzza https://t.co/lWcvl60hbd;-0.128;241148435;4;[#Science, #Research];2;Bruce Mayhew;232;175
853396323902644224;#Research is what I'm doing when I don't know what I'm doing. - Wernher von Braun #science #quote https://t.co/B6Jag4B87i;0.0;824852226657046530;0;[#Research, #science, #quote];3;Convo In Science;4;6
853392301246136320;Want to work in #LosAngeles, CA? View our latest opening: https://t.co/Q4ZRxTCmGy #PHD #PostDoc #CityofHope #Science #Research #Job #Jobs;0.0772;543548377;0;[#LosAngeles, #PHD, #PostDoc, #CityofHope, #Science, #Research, #Job, #Jobs];8;City of Hope Jobs;1607;1328
853396305288327168;.@_Anthropoid on #Periscope: I'm a brain scientist, have a drink with me. (and last day to get a gift) #science https://t.co/s21fzPrwTt;0.0;22852267;0;[#Periscope, #science];2;Anthony Adkins;2554;1399
853395161606275072;.@_Anthropoid ? #Periscope ?? I'm a brain scientist, have a drink with me. (and last day to get a gift) #science https://t.co/HfRopN8cWa;0.0;849078479920484353;0;[#Periscope, #science];2;Jane White;24;4
853395673462558720;The latest Science Policy Monitor! https://t.co/l6JGvft916 Thanks to @hend_mana @SmBizHealthCare @produccionneys #science #tech;0.4926;46854930;2;[#science, #tech];2;BlackPhysicists;6435;15470
853391078996815872;Mr. David Weild former #nasdaq Vice Chairman on $pbio #Science #forensics #healthcare #tech #biotech #Clinical #wsj  https://t.co/47NutgmuOg;0.0;803091257073553408;0;[#nasdaq, #Science, #forensics, #healthcare, #tech, #biotech, #Clinical, #wsj];8;Brandon Amstutz;520;206
853395648464302081;RT @Jackthelad1947: Our Oceans Are A Human Casualty | The Huffington Post #auspol @LaTrioli #climatechange #media fail #science ignored htt…;-0.8481;26947032;8;[#auspol, #climatechange, #media, #science];4;Green Wireless;1153;624
853393251545399296;RT @Jackthelad1947: Suzuki wants journalists to forget the Dow Jones, report on climate every day | @LaTrioli #auspol #qldpol #science  htt…;-0.2263;2388835920;42;[#auspol, #qldpol, #science];3;lrow;265;158
853394999848947713;Today's episode is available now on https://t.co/rrfhnsL0S5 and https://t.co/UBbTS5wcmm! #podcast #science #radio #lecture;0.0;852994208436805632;0;[#podcast, #science, #radio, #lecture];4;E SD;161;14
853393802450673664;Check out Extreme Science Daily - the daily science extreme podcast - on YouTube and Soundcloud. Get smarter every day!  #podcast #science;0.5093;852994208436805632;0;[#podcast, #science];2;E SD;161;14
853394333336309760;RT @allentien: The core strength of #science is #methods for acquiring evidence and understanding mechanisms, how reality works, in spite o…;-0.0516;1120878912;1;[#science, #methods];2;KellyR;4544;3373
